gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
TMEM231	ENSG00000205084	Microalbumin in urine	continuous	119013	pLoF	0.409598311168239	0.252867396229233	0.758743382487075	0.00809831657168034	31
TMEM216	ENSG00000187049	Creatinine	continuous	376624	pLoF	0.410877410719927	0.302592954954386	0.678700681480054	-0.00220000299103282	13
TMEM231	ENSG00000205084	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.41365551603649	0.250370924147395	0.999999962159097	-0.039123807129272	31
SDCCAG8	ENSG00000054282	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.416302733868399	0.587482287000617	0.258945046444417	0.0282089967434963	59
NEK8	ENSG00000160602	Urea	continuous	376551	pLoF	0.420132373898676	0.331707999583915	0.263976456483444	0.00203196452193243	39
DYNC2I1	ENSG00000126870	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.420430280973369	0.248600457894167	1.0	-0.0403020598191304	87
BBS5	ENSG00000163093	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.420752777046145	0.578108028569677	0.256750769928039	0.0142829589807959	28
BBS1	ENSG00000174483	Creatinine	continuous	376624	pLoF	0.421811322237433	0.251930770827481	0.843428265641455	-0.00316918762280474	48
BBS9	ENSG00000122507	Urea	continuous	376551	pLoF	0.421884267234669	0.251845922945578	0.444221683675512	0.00216505705622324	61
NPHP1	ENSG00000144061	Creatinine	continuous	376624	pLoF	0.429660978854041	0.262855470356388	0.586304299380146	-0.00266108207318376	37
CEP290	ENSG00000198707	Cystatin C	continuous	376784	pLoF	0.431492044538051	0.267602786094484	0.304796542402121	0.000814778814388233	253
IFT140	ENSG00000187535	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.43250458398756	0.270910077300391	0.291849122672084	0.028190893481283	82
ANKS6	ENSG00000165138	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.432622613460274	0.262399798550461	0.640285128994704	0.00306398707490748	50
CC2D2A	ENSG00000048342	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.436095112743052	0.274350241900931	0.999980023165242	-0.0258337284840087	136
BBS2	ENSG00000125124	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.438852195551285	0.283888697564937	0.999442516831049	-0.0403496783925006	63
NPHP1	ENSG00000144061	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.444506350527595	0.269604836370862	0.365804989978825	0.0218208263931727	37
BBS1	ENSG00000174483	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.444823482814391	0.2683622237796	0.991497433865347	-0.0216385608778484	48
NPHP1	ENSG00000144061	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.446883003710666	0.276132231197038	0.58213165596478	0.00308259511029207	37
BBS2	ENSG00000125124	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.449101581712618	0.290666209431122	0.999986871123588	-0.0126180748241885	63
ZNF423	ENSG00000102935	Creatinine	continuous	376624	pLoF	0.45076887453095	0.287596723505707	0.863010291596122	-0.00882291756070437	11
DYNC2I1	ENSG00000126870	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.451146240205305	0.419698186662547	0.269864530169103	0.00937380008633816	87
BBS4	ENSG00000140463	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.458702559627397	0.29017687718301	0.99999661768172	-0.040316109399543	48
BBS12	ENSG00000181004	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.459105513768576	0.294843736492048	0.92542505941271	-0.0421307516505495	10
BBS2	ENSG00000125124	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.4636198731933	0.300806551118905	0.849252463096841	-0.0118229482524046	63
