disease_id	has_chd	has_kidney	has_ckd	n_terms	n_systems
OMIM:141200	0	1	0	4	2
OMIM:141500	0	0	0	24	3
OMIM:141749	0	0	0	2	1
OMIM:142330	0	0	0	4	5
OMIM:142623	0	0	0	7	3
OMIM:142669	0	0	0	10	2
OMIM:142680	0	0	0	27	12
OMIM:142690	0	0	0	3	3
OMIM:142900	1	0	0	101	8
OMIM:142945	0	1	0	23	6
OMIM:142946	0	0	0	17	5
OMIM:143095	1	0	0	77	14
OMIM:143100	0	0	0	14	3
OMIM:143200	0	0	0	13	1
OMIM:143400	0	1	1	16	3
OMIM:143465	0	0	0	3	1
OMIM:143470	0	0	0	2	1
OMIM:143500	0	0	0	5	3
OMIM:143860	0	0	0	8	3
OMIM:143870	0	1	0	3	2
OMIM:143880	0	1	0	15	7
OMIM:143890	0	0	0	7	6
OMIM:144010	0	0	0	6	5
OMIM:144200	0	0	0	6	6
OMIM:144250	0	0	0	9	4
OMIM:144650	0	0	0	6	2
OMIM:144700	0	0	0	2	2
OMIM:144750	0	0	0	14	5
OMIM:144755	0	0	0	21	6
OMIM:145000	0	0	0	3	2
OMIM:145001	0	1	0	15	7
OMIM:145250	0	0	0	9	1
OMIM:145350	1	0	0	16	3
OMIM:145420	1	0	0	39	12
OMIM:145500	0	0	0	4	1
OMIM:145600	0	0	0	12	5
OMIM:145650	0	0	0	4	1
OMIM:145680	0	0	0	2	1
OMIM:145750	0	0	0	7	5
OMIM:145900	0	0	0	35	6
OMIM:145980	0	1	0	9	6
OMIM:145981	0	1	0	11	7
OMIM:146000	0	0	0	21	6
OMIM:146110	0	0	0	12	6
OMIM:146200	0	1	0	15	6
OMIM:146255	0	1	1	24	7
OMIM:146300	0	0	0	15	5
OMIM:146500	0	0	0	28	7
OMIM:146510	1	1	0	72	14
OMIM:146520	0	0	0	5	2
OMIM:146550	0	0	0	8	2
OMIM:146590	0	0	0	9	3
OMIM:146600	0	0	0	5	1
OMIM:146700	0	0	0	10	4
OMIM:146750	0	0	0	4	1
OMIM:146800	0	0	0	2	1
OMIM:147060	0	0	0	53	13
OMIM:147250	0	0	0	24	9
OMIM:147430	0	0	0	10	5
OMIM:147480	0	0	0	9	4
OMIM:147630	0	0	0	12	6
OMIM:147750	1	0	0	34	10
OMIM:147891	0	0	0	18	5
OMIM:147920	1	1	1	183	21
OMIM:147950	0	0	0	25	11
OMIM:148000	0	0	0	5	3
OMIM:148050	0	0	0	55	12
OMIM:148190	0	0	0	3	2
OMIM:148200	0	0	0	10	5
OMIM:148210	0	0	0	28	10
OMIM:148300	0	0	0	4	1
OMIM:148350	0	0	0	3	3
OMIM:148370	0	0	0	6	3
OMIM:148500	0	0	0	7	5
OMIM:148600	0	0	0	10	3
OMIM:148700	0	0	0	12	2
OMIM:148820	0	0	0	39	8
OMIM:149200	0	0	0	6	3
OMIM:149400	0	0	0	15	5
OMIM:149700	0	0	0	8	7
OMIM:149730	0	1	0	50	9
OMIM:150250	1	0	0	50	11
OMIM:150400	0	0	0	18	5
OMIM:150550	0	0	0	17	9
OMIM:150600	0	0	0	5	3
OMIM:150800	0	0	0	9	4
OMIM:151050	0	0	0	60	12
OMIM:151100	1	1	0	45	11
OMIM:151210	0	0	0	41	9
OMIM:151600	0	0	0	7	1
OMIM:151623	0	0	0	13	10
OMIM:151660	1	0	0	81	15
OMIM:151800	0	0	0	17	7
OMIM:152700	1	1	0	22	9
OMIM:152950	0	0	0	42	6
OMIM:153100	0	0	0	13	8
OMIM:153300	0	0	0	6	4
OMIM:153400	1	0	0	27	10
OMIM:153550	0	0	0	9	2
OMIM:153600	0	0	0	7	6
OMIM:153670	0	0	0	16	7
OMIM:153700	0	0	0	7	1
OMIM:153800	0	0	0	2	1
OMIM:153870	0	0	0	4	1
OMIM:154020	0	0	1	9	4
OMIM:154400	1	1	0	83	13
OMIM:154500	1	0	0	34	9
OMIM:154700	1	0	0	71	10
OMIM:154780	0	0	0	46	10
OMIM:154800	0	0	0	7	6
OMIM:155100	0	0	0	19	7
OMIM:155240	0	0	0	2	2
OMIM:155255	0	0	0	5	2
OMIM:155310	0	1	0	20	7
OMIM:155500	0	0	0	3	2
OMIM:155600	0	0	0	7	3
OMIM:155601	0	0	0	2	2
OMIM:155755	0	0	0	3	3
OMIM:155950	0	0	0	5	1
OMIM:156200	0	0	0	81	11
OMIM:156240	0	0	0	2	1
OMIM:156250	0	0	0	12	8
OMIM:156400	0	1	0	47	10
OMIM:156500	0	0	0	28	4
OMIM:156510	0	0	0	15	4
OMIM:156530	0	0	0	50	7
OMIM:156550	0	0	0	41	10
OMIM:156610	0	0	0	35	9
OMIM:157170	1	0	0	41	7
OMIM:157300	0	0	0	7	3
OMIM:157600	0	0	0	6	1
OMIM:157640	0	0	0	48	12
OMIM:157800	1	1	0	56	12
OMIM:158000	0	0	0	11	1
OMIM:158300	0	0	0	18	7
OMIM:158310	1	0	0	32	12
OMIM:158320	0	0	0	14	7
OMIM:158330	0	1	0	12	4
OMIM:158350	0	0	0	47	17
OMIM:158580	0	0	0	15	4
OMIM:158590	0	0	0	8	3
OMIM:158600	0	0	0	15	3
OMIM:158810	0	0	0	52	12
OMIM:158900	0	0	0	25	11
OMIM:158901	0	0	0	9	5
OMIM:159550	0	0	0	21	7
OMIM:159595	0	0	0	2	3
OMIM:159900	0	0	0	23	5
OMIM:159950	0	0	0	25	7
OMIM:160120	0	0	0	18	6
OMIM:160150	0	0	0	37	6
OMIM:160500	1	0	0	29	7
OMIM:160565	0	0	0	27	7
OMIM:160800	0	0	0	14	3
OMIM:160900	0	0	0	24	11
OMIM:160980	1	0	0	40	14
OMIM:161000	0	0	0	9	4
OMIM:161050	0	0	0	8	1
OMIM:161200	0	1	1	45	12
OMIM:161400	0	0	0	11	1
OMIM:161800	1	0	0	40	11
OMIM:162000	0	1	1	40	6
OMIM:162091	0	0	0	8	4
OMIM:162100	0	0	0	21	6
OMIM:162200	1	1	0	59	15
OMIM:162210	0	0	0	12	7
OMIM:162300	0	0	0	30	11
OMIM:162350	0	0	0	20	4
OMIM:162400	0	0	0	23	8
OMIM:162500	0	0	0	13	4
OMIM:162800	0	0	0	5	5
OMIM:162830	0	0	0	6	6
OMIM:162900	0	0	0	3	1
OMIM:163000	0	0	0	2	1
OMIM:163200	0	1	0	33	12
OMIM:163500	0	0	0	5	1
OMIM:163800	1	0	0	28	3
OMIM:163950	1	0	0	58	18
OMIM:164200	1	0	0	54	10
OMIM:164210	1	1	0	55	10
OMIM:164230	0	0	0	6	1
OMIM:164280	1	0	0	47	11
OMIM:164300	0	0	0	17	8
OMIM:164310	1	0	0	46	12
OMIM:164400	0	0	0	51	5
OMIM:164500	0	0	0	22	4
OMIM:164745	0	0	0	37	11
OMIM:165300	0	0	0	9	3
OMIM:165500	0	0	0	17	4
OMIM:165510	0	0	0	8	2
OMIM:165550	0	0	0	8	2
OMIM:165720	0	0	0	2	1
OMIM:165800	0	0	0	16	6
OMIM:166200	1	0	0	21	9
OMIM:166210	0	0	0	26	10
OMIM:166220	0	0	0	16	6
OMIM:166250	0	0	0	60	11
OMIM:166260	0	0	0	7	3
OMIM:166300	0	1	1	31	9
OMIM:166350	0	0	0	8	3
OMIM:166600	0	0	0	15	8
OMIM:166700	0	0	0	13	5
OMIM:166710	0	0	0	2	1
OMIM:166760	0	0	0	3	2
OMIM:166780	0	0	0	14	6
OMIM:166900	0	0	0	3	1
OMIM:167000	0	0	0	5	3
OMIM:167030	0	1	1	6	2
OMIM:167100	0	0	0	13	10
OMIM:167200	0	0	0	6	3
OMIM:167210	0	0	0	16	6
OMIM:167250	0	0	0	8	5
OMIM:167320	0	0	0	35	6
OMIM:167400	0	0	0	11	8
OMIM:167800	0	0	0	11	8
OMIM:168000	0	0	0	26	7
OMIM:168300	0	0	0	45	13
OMIM:168400	0	0	0	10	5
OMIM:168500	0	0	0	11	5
OMIM:168550	0	0	0	7	4
OMIM:168600	0	0	0	30	6
OMIM:168601	0	0	0	28	4
OMIM:168605	0	0	0	30	7
OMIM:169100	0	0	0	18	8
OMIM:169150	0	0	0	12	2
OMIM:169400	1	0	0	36	14
OMIM:169600	0	0	0	2	2
OMIM:170100	0	0	0	36	14
OMIM:170390	0	0	0	57	12
OMIM:170400	0	0	0	10	3
OMIM:170500	0	0	0	7	3
OMIM:170650	0	0	0	5	4
OMIM:171200	0	0	0	2	1
OMIM:171300	0	1	0	17	9
OMIM:171400	0	0	0	22	8
OMIM:172700	0	0	0	19	1
OMIM:172800	0	0	0	9	6
OMIM:172870	0	0	0	7	1
OMIM:173100	0	0	0	8	4
OMIM:173200	0	0	0	10	3
OMIM:173600	0	0	0	3	1
OMIM:173650	0	0	0	25	10
OMIM:173900	1	1	1	9	4
OMIM:174000	0	1	1	21	6
OMIM:174050	0	1	0	11	8
OMIM:174200	0	0	0	21	8
OMIM:174300	1	1	0	48	13
OMIM:174400	0	0	0	4	2
OMIM:174500	0	0	0	10	2
OMIM:174700	0	0	0	7	2
OMIM:174800	0	0	0	23	11
OMIM:174810	0	0	0	12	7
OMIM:174900	0	0	0	15	9
OMIM:175050	0	0	0	18	10
OMIM:175100	0	0	0	27	9
OMIM:175200	0	0	0	27	12
OMIM:175510	0	0	0	4	2
OMIM:175700	1	0	0	53	10
OMIM:175780	0	0	0	51	7
OMIM:175800	0	0	0	5	1
OMIM:175900	0	0	0	5	1
OMIM:176000	0	0	0	24	10
OMIM:176100	0	0	0	13	5
OMIM:176200	0	0	0	14	7
OMIM:176270	0	0	0	95	15
OMIM:176305	0	0	0	6	3
OMIM:176400	0	0	0	6	3
OMIM:176410	0	0	0	3	2
OMIM:176430	0	0	0	2	2
OMIM:176450	0	1	0	27	9
OMIM:176500	0	0	0	8	3
OMIM:176670	0	0	0	15	5
OMIM:176807	0	0	0	3	2
OMIM:176860	0	0	0	10	6
OMIM:176920	0	0	0	35	12
OMIM:177000	0	0	0	11	6
OMIM:177170	0	0	0	44	5
OMIM:177200	0	0	1	9	4
OMIM:177650	0	0	0	14	3
OMIM:177735	0	0	0	15	5
OMIM:177820	0	0	0	3	1
OMIM:177850	1	0	0	24	9
OMIM:177900	0	0	0	6	3
OMIM:178110	1	0	0	35	10
OMIM:178500	0	0	0	13	10
OMIM:178600	1	0	0	18	4
OMIM:179300	0	0	0	3	2
OMIM:179800	0	1	0	12	3
OMIM:179850	0	0	0	2	1
OMIM:180000	0	0	0	6	5
OMIM:180100	0	0	0	15	2
OMIM:180104	0	0	0	9	1
OMIM:180105	0	0	0	14	2
OMIM:180200	0	0	0	14	8
OMIM:180295	0	0	0	7	5
OMIM:180300	0	0	0	16	7
OMIM:180500	0	0	0	25	7
OMIM:180550	0	0	0	7	2
OMIM:180700	0	1	0	71	11
OMIM:180750	0	0	0	18	4
OMIM:180800	0	0	0	21	4
OMIM:180849	1	1	0	141	17
OMIM:180860	0	0	0	29	13
OMIM:180920	0	0	0	6	1
OMIM:181000	1	0	0	44	16
OMIM:181030	0	0	0	3	3
OMIM:181270	1	1	1	59	14
OMIM:181350	1	0	0	65	8
OMIM:181400	0	0	0	13	6
OMIM:181405	0	0	0	33	6
OMIM:181450	1	0	0	46	12
OMIM:181500	0	0	0	7	1
OMIM:181600	0	0	0	8	4
OMIM:182000	0	0	0	3	2
OMIM:182170	0	0	0	4	2
OMIM:182212	1	0	0	63	10
OMIM:182230	0	0	0	13	6
OMIM:182250	1	0	0	53	11
OMIM:182280	0	0	0	2	2
OMIM:182290	1	1	0	81	16
OMIM:182410	1	0	0	25	9
OMIM:182600	0	0	0	23	5
OMIM:182601	0	0	0	27	6
OMIM:182900	0	0	0	14	6
OMIM:182940	0	0	0	11	6
OMIM:182980	0	0	0	14	2
OMIM:183086	0	0	0	27	5
OMIM:183090	0	0	0	41	6
OMIM:183600	0	0	0	17	6
OMIM:183900	0	0	0	38	9
OMIM:184095	0	0	0	18	8
OMIM:184250	0	0	0	27	7
OMIM:184252	0	0	0	33	5
OMIM:184253	0	0	0	20	4
OMIM:184255	0	0	0	14	4
OMIM:184260	0	1	0	42	8
OMIM:184450	0	0	0	3	1
OMIM:184460	0	0	0	15	5
OMIM:184500	0	0	0	3	3
OMIM:184840	0	0	0	14	5
OMIM:184900	1	0	0	15	8
OMIM:185000	0	0	0	15	9
OMIM:185020	0	0	0	6	5
OMIM:185070	0	0	0	28	13
OMIM:185300	0	0	0	9	6
OMIM:185500	0	0	0	5	2
OMIM:185800	0	0	0	11	3
OMIM:186000	0	0	0	15	2
OMIM:186100	0	0	0	6	2
OMIM:186200	0	0	0	9	2
OMIM:186300	0	0	0	24	2
OMIM:186500	0	0	0	54	7
OMIM:186570	0	0	0	16	4
OMIM:186580	1	0	0	22	9
OMIM:187000	0	0	0	2	1
OMIM:187300	0	0	0	53	12
OMIM:187500	1	0	0	6	6
OMIM:187600	0	0	0	43	8
OMIM:187601	0	0	0	26	7
OMIM:187800	0	0	0	9	3
OMIM:187900	0	0	0	19	5
OMIM:187950	0	0	0	6	4
OMIM:188000	0	0	0	7	4
OMIM:188050	0	0	0	7	3
OMIM:188055	0	0	0	7	1
OMIM:188400	1	1	1	76	18
OMIM:188470	0	0	0	5	2
OMIM:188550	0	0	0	4	2
OMIM:188570	0	0	0	9	3
OMIM:188580	0	0	0	11	6
OMIM:188740	0	0	0	7	2
OMIM:189500	0	0	0	10	2
OMIM:190300	0	0	0	6	1
OMIM:190320	0	0	0	10	3
OMIM:190330	0	0	0	3	3
OMIM:190350	0	0	0	54	11
OMIM:190351	0	0	0	31	7
OMIM:190440	0	0	0	21	7
OMIM:190605	0	0	0	7	2
OMIM:190900	0	0	0	5	1
OMIM:191100	1	1	0	38	13
OMIM:191480	0	0	0	5	1
OMIM:191800	0	1	1	11	7
OMIM:191830	0	1	0	17	10
OMIM:191900	0	1	1	28	14
OMIM:192315	0	0	0	33	10
OMIM:192430	1	0	0	39	17
OMIM:192500	0	0	0	9	4
OMIM:192600	1	0	0	6	2
OMIM:192605	1	0	0	7	2
OMIM:192950	0	0	0	5	2
OMIM:193003	0	0	0	18	4
OMIM:193100	0	0	0	13	7
OMIM:193220	0	0	0	20	4
OMIM:193230	0	0	0	7	1
OMIM:193235	0	0	0	10	4
OMIM:193300	0	1	0	20	11
OMIM:193400	1	0	0	18	7
OMIM:193500	0	0	0	27	7
OMIM:193510	0	0	0	15	4
OMIM:193520	0	0	0	16	9
OMIM:193530	0	0	0	13	7
OMIM:193670	0	0	0	14	9
OMIM:193700	0	0	0	78	16
