gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
MKKS	ENSG00000125863	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.510124247838636	0.504513628863103	0.332884946033172	-0.00207867958763732	291
DNAJB11	ENSG00000090520	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.514341970070807	0.641076492871286	0.312379659956285	0.00361251570839993	165
DYNC2I1	ENSG00000126870	Urea	continuous	376551	missense|LC	0.517833564332683	0.576753513187254	0.325649492577411	0.000166594885182733	604
TTC8	ENSG00000165533	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.519681896541578	0.34383986559061	0.435509383930969	0.0130293189285323	251
IFT172	ENSG00000138002	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.520230602216947	0.367432940216385	0.326278573915496	0.00347924783809477	835
NEK8	ENSG00000160602	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.520259557578793	0.317810063811473	0.998943797976655	-0.00824888637180791	381
IFT140	ENSG00000187535	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.520822829932494	0.624042272112526	0.321831009873569	-0.00250658478506281	974
BBS1	ENSG00000174483	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.522233819475921	0.696170093300498	0.333158273473363	-0.00810836331517931	318
BBS9	ENSG00000122507	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.523236354931892	0.334565083742628	0.817347696836494	-0.00287660487149242	436
ALG9	ENSG00000086848	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.523358872371093	0.346757614359023	0.626602782778406	0.0122333777167559	291
BBIP1	ENSG00000214413	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.524938455512035	0.774180764433497	0.347524857032912	0.00700311134519884	25
DNAJB11	ENSG00000090520	Urea	continuous	376551	missense|LC	0.525623708550298	0.322187338331767	0.612331995902088	-0.00137120425203779	165
BBS7	ENSG00000138686	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.526904494225931	0.332584569577211	0.813459443841013	0.000549486868305278	259
DYNC2I1	ENSG00000126870	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.527664596170112	0.711210262469334	0.33261654402067	-0.0015030857836575	604
